UID,ID,Study,longitude,latitude,MAT,MAP,pH,SOC,TN,sand,silt,clay,years,n,AS,BG,CBH,CN,DOC,Fed,Feo,SOC,MAOC,POC,Fep,TN,XYL,PPO,ph,Mura,GalN,GluN,ManN,MBC
1,1,12,35.3575,37.015,19.2,639,7.82,8.76,2.400000095,18,32,50,9,3,,1.096044893,,0.246608537,,,,0.514267968,,,,0.223143551,,,,,,,,0.433415502
2,2,17,-101.816667,33.7,15.52649975,486,7.400000095,16.29999924,1.200000048,67.6,16,16.4,5,3,,,,,,,,,,,,,,,,,,,,-0.042559615
3,3,17,-101.816667,33.7,15.52649975,486,7.400000095,16.29999924,1.200000048,67.6,16,16.4,5,3,,,,,,,,,,,,,,,,,,,,-0.08845542
4,4,17,-101.816667,33.7,15.52649975,486,7.400000095,16.29999924,1.200000048,67.6,16,16.4,5,3,,,,,,,,,,,,,,,,,,,,-0.077817022
5,5,47,52.583333,29.666667,16.58133316,193,7.6,23.8,1.1,24,47,29,2,3,,,,,,,,,,,,,,,0.005219997,,,,,
6,6,47,52.583333,29.666667,16.58133316,193,7.6,23.8,1.1,24,47,29,2,3,,,,,,,,,,,,,,,-0.001299417,,,,,
7,7,48,57.316667,37.466667,13.7,259.7,7.3,6.7,3.2,48,41,11,44,3,,,,,,,,0.535628096,,,,,,,,,,,,0.348818073
8,8,48,57.316667,37.466667,13.7,259.7,7.3,6.7,3.2,48,41,11,44,3,,,,,,,,0.535628096,,,,,,,,,,,,0.365045609
9,9,48,57.316667,37.466667,13.7,259.7,7.3,6.7,3.2,48,41,11,44,3,,,,,,,,0.461693867,,,,,,,,,,,,0.323614082
10,10,48,57.316667,37.466667,13.7,259.7,7.3,6.7,3.2,48,41,11,44,3,,,,,,,,0.466781383,,,,,,,,,,,,0.343032167
11,11,48,57.316667,37.466667,13.7,259.7,7.3,6.7,3.2,48,41,11,44,3,,,,,,,,0.406523055,,,,,,,,,,,,0.328710231
12,12,48,57.316667,37.466667,13.7,259.7,7.3,6.7,3.2,48,41,11,44,3,,,,,,,,0.420839008,,,,,,,,,,,,0.341613636
13,13,55,1.0892305,41.7852352,13.72666645,435,8.5,11,2.900000095,46.5,41.7,11.8,12,3,,,,,,,,0.451869457,,,,,,,,,,,,0.389591759
14,14,55,1.0892305,41.7852352,13.72666645,435,8.5,11,1.700000048,46.5,41.7,11.8,12,3,,,,,,,,0.698856045,,,,,,,,,,,,0.677273831
15,15,55,1.0892305,41.7852352,13.72666645,435,8.5,11,1.200000048,46.5,41.7,11.8,12,3,,,,,,,,-0.223456491,,,,,,,,,,,,-0.192990513
