ID,Tillage,cultivar,yield,aroma,riceprotein,Albumin,Globulin ,Glutelin ,riceaminoacid,soilaminoacid,SOC,STN
1,CK,cultivar-M2022,3.61,229.73,18.79,20.19,10.23,86.16,15.07,0.3,14.26,1.33
2,CK,cultivar-M2022,3.78,240.92,19.53,25.61,9.36,94.43,15.5,0.32,13.52,1.31
3,CK,cultivar-M2022,3.76,224.5,20.13,20.72,11.99,94.63,15.14,0.33,13.76,1.34
4,CT,cultivar-M2022,2.96,261.77,13.57,21.25,11.79,79.96,15.83,0.24,13.6,1.32
5,CT,cultivar-M2022,3.34,264.18,17.61,20.92,12.25,86.59,14.94,0.18,13.11,1.32
6,CT,cultivar-M2022,3.28,252.71,14.71,20.66,11.64,80.42,15.46,0.2,13.43,1.32
10,NT,cultivar-M2022,3.55,290.39,20.66,26.74,18.07,117.81,20.79,0.19,14.95,1.4
11,NT,cultivar-M2022,4.2,298.8,19.86,29.02,17.32,112.54,21.44,0.2,14.53,1.41
12,NT,cultivar-M2022,3.88,297.72,17.72,25.74,16.99,110.39,20.32,0.24,14.59,1.4
25,CK,cultivar-X2022,2.99,229.82,10.57,14.78,4.08,74.76,14.82,0.3,14.26,1.33
26,CK,cultivar-X2022,3.05,234.73,10.77,11.3,8.76,73.29,14.17,0.32,13.52,1.31
27,CK,cultivar-X2022,3.02,246.48,13.24,18.01,6.69,88.9,14.06,0.33,13.76,1.34
28,CT,cultivar-X2022,3.48,292.5,12.91,19.06,8.16,89.71,14.95,0.24,13.6,1.32
29,CT,cultivar-X2022,3.22,277,9.7,14.45,8.03,69.71,14.45,0.18,13.11,1.32
30,CT,cultivar-X2022,3.35,278.74,12.57,22.47,9.83,86.73,14.32,0.2,13.43,1.32
34,NT,cultivar-X2022,3.2,265.17,13.97,16.29,9.14,81.25,20.14,0.19,14.95,1.4
35,NT,cultivar-X2022,2.78,266.64,16.09,24.83,10.13,89.25,22.21,0.2,14.53,1.41
36,NT,cultivar-X2022,2.99,274.5,15.76,24.49,11.26,94.5,22.91,0.24,14.59,1.4
